movie,sentence,score
더 퍼스트 슬램덩크,북산 팀을 큰 스크린으로 몇번이고 볼 수 있는 기쁨과 감동,10
더 퍼스트 슬램덩크,"내 추억이, 내 기억이, 다 자라버린 내 경험과 버무러져 살면서 다신 없을 기분을 선사해줬다. 너무 고맙다.",10
더 퍼스트 슬램덩크,솔직히 딱히 잘 모르겠음,2
더 퍼스트 슬램덩크,슬램덩크를 보지 않았던 사람도 즐길 수 있는 영화~!!!,8
더 퍼스트 슬램덩크,되살아난 명작....,10
더 퍼스트 슬램덩크,언제 봐도 피끓는 북산 산왕전!,8
더 퍼스트 슬램덩크,슬램덩크 하나도 모르는데 재밌었음,9
더 퍼스트 슬램덩크,영화관에서 같은 영화 처음으로 두 번 봤어요!이건 진짜 돌비로 봐야…,10
더 퍼스트 슬램덩크,이번 슬램덩크 극장판은 최고의 명 경기를 보여준 극장판이었어요:),10
더 퍼스트 슬램덩크,슬램덩크에 대해서 전혀 모르는데 남편이 보고싶어해서 봤는데 영상미가 맘에 들고 농구경기 연출은 좋았는데 경기에 몰입할 즈음 과거로 플래시백하는 장면이 많은게 좀 아쉬웠어요.,8
더 퍼스트 슬램덩크,영화가 끝나고 한동안 계속 중학교 시절의 내가 되어.... 추억의 힘이란 이런 거구나. ,10
더 퍼스트 슬램덩크,모든게 완벽했다!!ㅠㅠ,10
더 퍼스트 슬램덩크,재미는있습니다기존애니와는 틀리게 현장생동감이느껴집니다그런데 흐림이 자꾸 끝나고너무 잦은 과거 소환으로 지루하다고생각될만큼 끊겼습니다,8
더 퍼스트 슬램덩크,무조건 두번이상 보게 되어있음,10
더 퍼스트 슬램덩크,시작과 동시에 영화가 아니라 농구경기 한편 과 그기에 선수들의 개인적 이야기 조금 추가 정도그럼에도 불구하고 끝날때쯤 열심히 응원하고 있는 나농구경기 한편으로 영화를 만든다는게 정말 대단하게 느껴짐하지만 농구관심없는 사람은 비추 ,4
더 퍼스트 슬램덩크,ㄷㄷ 뒷심 죽이네 뭐여 300 만 가겠는데,10
더 퍼스트 슬램덩크,오랫만에 20년 전 느꼈던 감정을 다시한번 돌아봤네요,10
더 퍼스트 슬램덩크,말이 필요없는 전율 그 자체 다만 자막 초월번역 진짜 너무 거슬림 번역하는 인간들 진짜 어휴...,10
더 퍼스트 슬램덩크,진짜 솔직하게 난 다른건 모르겠고 잘만들긴했는데 스토리가 아쉽다 경기중에 몇번을 왔다갔다하는지ㅠㅠ 그래도 2시간 훅간다,9
더 퍼스트 슬램덩크,노잼임 평점 9점인게 신기할뿐임,2
더 퍼스트 슬램덩크,한동안 잊고 살았던 어렸을 적 친했던 친구를 만나서 수다를 떨고 온 느낌이네요. 정말 기분이 좋습니다. ,10
더 퍼스트 슬램덩크,송어 뚫태섭~~!!!!,9
더 퍼스트 슬램덩크,한 권 한 권 만화책 나오길 기다리며 설레던 그 시절로 데려가 줘서 고마웠어,10
더 퍼스트 슬램덩크,어린 시절의 추억이 다시 떠오르는 좋은 시간이었습니다.,9
더 퍼스트 슬램덩크,불꽃남자 정대만 사랑해,10
더 퍼스트 슬램덩크,중간 중간 지루했어서 아쉽네요,8
더 퍼스트 슬램덩크,왜 이제 봤나 싶을 정도로 재밌게 봤습니다,10
더 퍼스트 슬램덩크,쿠키영상을 못 봤네요마지막 정막이 흐를때 ...,10
더 퍼스트 슬램덩크,"의욕 충만한 열정을 끌어낸다.어려움을 극복하고 얻는 희열에 얼마만의 몰입이었는지, 다시 또 보고 싶다.",10
더 퍼스트 슬램덩크,앞으로 또 어떻게 기다리냐....,10
더 퍼스트 슬램덩크,진짜 한국은 일본문화권이네 ,5
더 퍼스트 슬램덩크,송태섭 스토리는 그냥 사족같은 느낌이였다 그때는 감동이였지만 지금은 유치한 구석도 있고 그냥 반가운 감정,6
더 퍼스트 슬램덩크,10년전 감동이 다시 느껴졌음,10
더 퍼스트 슬램덩크,더 세컨드 슬램덩크 주세요..,10
더 퍼스트 슬램덩크,눈물이진짜 졸졸졸 흐름니다ㅠㅠ,10
더 퍼스트 슬램덩크,명실상부 인생작에 가깝게 완벽한 영화이미 다 알고있는 내용으로도 감동을주며송태섭을 새로운주인공으로 내세우며 처음보는사람마저손에 땀을쥐게 만들고 슬램덩크를정주행하게 만드는 정말 최고의작품 ,10
더 퍼스트 슬램덩크,1990년대 추억으로 빠져들게하는 영화입니다.그 시절 주인공 이름으로 자막이 나와서 더 좋았습니다.2 탄도 제작되면 좋겠습니다.주제곡도 오랜만에 다시 듣고 있네요.,10
더 퍼스트 슬램덩크,제발 모든 경기 싹 다 한 편씩 만들어주길...,8
더 퍼스트 슬램덩크,진짜 최고로 재밌었다이미 만화로도 몇번을 정주행했는데영화로 볼때 처음부터 끝까지 울뻔했다,10
더 퍼스트 슬램덩크,론나 재미있는데 옆에 있던 아저씨 둘 다 우심,10
더 퍼스트 슬램덩크,내가본 애니메이션 영화중 &amp;#39;최고&amp;#39;의 영화.,10
더 퍼스트 슬램덩크,난 그냥저냥각자 케릭터개성과 농구실력이 다운그레이드된느낌 ,6
더 퍼스트 슬램덩크,마지막부분 빼고는 약간 지루하고 계속 흐름상 왔다갔다해서 집중하기가 힘들었어요그래도 마지막부분은 잼있었네요,7
더 퍼스트 슬램덩크,진짜 작품 자체로만은 무조건 10점인데 더빙판 성우진이 영...; 본래 성우진들 기용하는게 몇억배 좋았을거 같은데 기존 성우진 섭외 실패라도 한건가; ,8
더 퍼스트 슬램덩크,원작도 모르고 봤지만 재밌었음 근데 정대만 자꾸 생각남,8
더 퍼스트 슬램덩크,명작은 그 결과를 알아도 다시 찾게 만든다,10
더 퍼스트 슬램덩크,마지막에 울엇다……… 송태섭의 서사에 울고나와서 정대만에게 빠지는 영화,10
더 퍼스트 슬램덩크,원작본적도 없는데도 불구하고 인상깊게 봤습니다,9
더 퍼스트 슬램덩크,슬램덩크 세대도 아니고 슬램덩크를 본적도 없지만 진짜 너무 좋네요 감동적이고 연출이 기가 막혀서 농구 한게임 보는건데도 지루하지 않게 2시간 봤습니다 유튜브나 리뷰에서 끌려 갔다가 입문 했다는 사람이 많아서 기대하고 봤는데 기대를 매우매우 충족하는 명작,10
더 퍼스트 슬램덩크,아.. 진짜 미쳤습니다. 슬램덩크ㅠㅠㅠ 몇번이고 다시보고싶어요제발 32강 산왕전말고 전국체전 전부 보여주세요,10
더 퍼스트 슬램덩크,그냥…최고 세번봐도 또 보고싶다,10
더 퍼스트 슬램덩크,2023년 최고의 영화 정말 재밌어요,9
더 퍼스트 슬램덩크,90년대 슬램덩크 연재 당시 캐릭터 인기 순위가 생각이 나네요 일본도 마찬가지겠지만 한국도 정대만이 자주 상위권에 올라있었지만 한국에서 잠시 윤대협이 1위를 한 적이 있었습니다 그때만 해도 한국에서 농구가 인기가 엄청났기 때문에 농구를 하는 수 많은 농구인들이 윤대협 처럼 농구 하고 싶어 했죠 물론 모든 농구인들이 다 그런 건 아니지만 특히 농구 고수들에게 윤대협은 딱 닮고 싶은 캐릭터였습니다 일단 외모 농구 실력 그리고 가장 중요 한 것 바로 마인드 동료들을 배려 할 줄 알고 패배 했을때도 상대의 실력을 인정 할 줄 알며 농구를 즐기 줄 알며 승부 그 자체를 즐길 줄 아는 윤대협 코트 밖에서도 안에서도 여유와 즐기는 마인드를 장착 했던 윤대협 어릴 때 윤대협을 보면서 아 나도 저렇게 농구 하고 싶고 삶도 저런 삶을 살고 싶다라는 생각을 많이 했었는데 생각보다 쉽지는 않더군요ㅎ 그래도 영향을 많이 받아서 농구 할 때도 최대 한 즐기는 마인드를 갖고 했으며 상대를 배려했으며 진정 한 농구인이 되려 했습니다 근데 살면서 윤대협 같은 사람을 만나는게 쉽지 않더군요 이유는 윤대협 같은 캐릭터는 상위권에 속한 사람들이라 실 생활에서는 만나는게 정말 어렵다는 생각이네요ㅋ 진짜 상상속에서나 만화 속에서는 있을 법한 사람 잘 찾아보면 어딘가 있겠지만 저런 마인드와 외모를 가진 사람이 많지 않다는게 현실ㅎ 대한민국에 윤대협 같은 사람들만 있으면 진짜 바로 선진국 될 것 같은데 말이죠ㅋ 암튼 슬램덩크는 계속해서 후세 사람들에게도 전해내려줘야 하는 훌륭 한 만화라고 생각합니다 3-40대 사람들이 자식들에게 꼭 보여줬으면 하는 그리고 그 안에서 배움을 얻어 실생활에서도 올바르게  성장하게 만들어줬으면 하는 바램이네요ㅎ 슬램덩크는 정말 좋은 만화 입니다,10
더 퍼스트 슬램덩크,무난함. 딱 그정도.,7
더 퍼스트 슬램덩크,전후 역사상 농구 만화로는 최고다,10
더 퍼스트 슬램덩크,모든게 완벽했다....벌써 5회차,10
더 퍼스트 슬램덩크,기대 이상을 넘어선 감동입니다. 보기전에는 3D 애니의 거부감이 있었지만 이번 극장판은 3D가 정답이라는 생각까지 들게했네요. ,10
더 퍼스트 슬램덩크,아들 낳으면 북산고 보내겠습니다!!!,10
더 퍼스트 슬램덩크,이제 숨셔도 돼? 대박 숨멎을뻔,10
더 퍼스트 슬램덩크,너무 재밌다 옛날 ost안 나와서 좀 아쉬웠지만 새로운 ost도 좋았다 탑건 이후로 평가 처음 적어본다 강추,10
더 퍼스트 슬램덩크,가슴이 ㅈㄴ웅장해진다 ㄹㅇ 하 너무 잼ㅆ다 어떡하지?,10
더 퍼스트 슬램덩크,원작 잘 모르는데도 정말 숨죽이고 봤어요 ,10
더 퍼스트 슬램덩크,후속작을 기대하고 싶다. ,10
더 퍼스트 슬램덩크,클래식은 영원하다. 농놀 최고!! 뚫어 송태섭!!!!,10
더 퍼스트 슬램덩크,슬램덩크는 강백호가 주연인데 송태섭이 주연인것도 괜찮았습니다!ㅋ 어릴때  SBS에서 슬램덩크 방영 당시 백호가 채치수한테 고릴라라고 한거 정말 웃겼는데ㅋ,10
더 퍼스트 슬램덩크,마지막 1분은 진짜 감동그자체였습니다 ㅠㅠ,10
더 퍼스트 슬램덩크,굿… 최고의 영화였다…,10
더 퍼스트 슬램덩크,진심 애니보면서 소름돋은적은 처음이다…,10
더 퍼스트 슬램덩크,경기장 관람석에 앉아 있는 느낌입니다.,10
더 퍼스트 슬램덩크,진짜 개지림 꼭 봐야하는 영화,10
더 퍼스트 슬램덩크,재미있긴한데 그정도는 아닌데.. 왜 이렇게 난리에요 &amp;#39;-&amp;#39; ?,10
더 퍼스트 슬램덩크,진짜... 추억의향수를 극한까지 끌어올린 영화,10
더 퍼스트 슬램덩크,20년넘은 추억을 소환하는 마법같은 스토리와 주인공들. 감동주셔서 감사합니다.,10
더 퍼스트 슬램덩크,보면서 계속 심장뛰는 영화,10
더 퍼스트 슬램덩크,미친 영화….. 너무 감동 ㅎㅎ,10
더 퍼스트 슬램덩크,"관객들이 몰입할 준비를 하고 왔다는게 너무 놀랐어요. 솔솔솔 소리날 땐 숨도 안 쉬는 듯, 잘 봤다뿅, ㅋㅋ",10
더 퍼스트 슬램덩크,그냥 미쳣음 피가 끓는영화,10
더 퍼스트 슬램덩크,"작화, OST 모두 뛰어남",10
더 퍼스트 슬램덩크,내 마음에 깊은 파동의 슬램덩크,10
더 퍼스트 슬램덩크,첨본다는게 믿기지 않네 ㅋㅋ,10
더 퍼스트 슬램덩크,감동 포인트 마다 뭉글한 감동이 있었습니다.,10
더 퍼스트 슬램덩크,넘 재밌음혼을 쏙 빼네요,10
더 퍼스트 슬램덩크,ㅠㅠ 진짜 말이 필요없는.. 숨죽이며 봤네요..,10
더 퍼스트 슬램덩크,3D의 어색함 없이 원작의 감동을 그대로,10
더 퍼스트 슬램덩크,영화관에서 4번 울었다...이 시대에 벌수있어서 감사합니다,10
더 퍼스트 슬램덩크,눈물은 안나는데 뭉클하고 가슴뛰더라,10
더 퍼스트 슬램덩크,"이게 농놀이야.,.,.,..",10
더 퍼스트 슬램덩크,마치 옛친구를 다시 만나 오랜만에 다시 생생하게 곱씹어보는 그때의 그 추억. 감동.,9
더 퍼스트 슬램덩크,40대 중반 나이에 애니메이션 본다고 눈총받았지만 후회없는 선택이었다 ,10
더 퍼스트 슬램덩크,훌륭하다 거의 완벽한 극장판,10
더 퍼스트 슬램덩크,좀 지루하던데.. 나만 그런가?,4
더 퍼스트 슬램덩크,진짜 몰입감 쩔고 감동도 쩔고 만화책으로 몇번이고 다시봤던 산왕전을 애니로 볼 수 있어서 너무 행복했습니다.,10
더 퍼스트 슬램덩크,"옛날에 서태웅 좋아할때 친구가 하도 모라 그래서 ㅋ 서태웅 좋아한다고 말도 못했는데...아마 완성형 인간형에 대한 질투ㅋ?였을까??성장하는 강백호가 좋치, 서태웅은 재섭다며ㅜㅠ 근데 대형화면에...늘 가늘다고 생각한 이미지의 서태웅이 연필로 그려지면서 어슬렁 어슬렁 걸어나오는데 헉 그때 떨어진 심장이 어느 영화관에 있는지...다시 주으러 (주섬주섬) 가야겠다 ",10
더 퍼스트 슬램덩크,지렸다 지렸다 지렸다 지렸다 ,10
더 퍼스트 슬램덩크,클래스는 영원하다 감동했음,10
더 퍼스트 슬램덩크,언제적이야 ~ ㅋㅋㅋ~,1
더 퍼스트 슬램덩크,불알이 요동칠정도로 웅장한 감동,10
더 퍼스트 슬램덩크,"&amp;#39;무슨 슬램덩크야 ㅡㅡ&amp;#39; 라고 심드렁해 하는 20대중반 예비신부랑 같이 보았음 보기 전부터 궁금했음 어떤 내용일까 어떤식으로 연출 했을까 등등. 만화책n독 하신분들 아시겠지만 산왕전 마지막 30초?! 정도 대사 없이 빠르게 진행 하는데 그것을 어떻게 연출했을까 아니나 다를까, 다크나이트에서 조커가 하비덴트 죽이려는 그 지하터널씬 만큼이나 흡입력이 끝내줬다. 중간중간 만화처럼 흑백으로 처리한 씬도 있었고, 모든 슬램덩크 팬들의 염원이었던 마지막 하이파이브씬을 동영상으로 보았을때의 희열이란... ",10
더 퍼스트 슬램덩크,원작 만화에 대한 지식이 더 많았더라면 더 짜릿했을 것 같다,7
더 퍼스트 슬램덩크,진짜 존나 개쩜 슬램덩크 내용 모르고 봐도 개꿀잼,10
더 퍼스트 슬램덩크,퀄리티 좋은 버젼으로 보니 멋지네요... 만화책 안 보신 분들은 예습하시고 가시는 걸 추천...,10
더 퍼스트 슬램덩크,혼자 영화보기 처음인데.. 캐릭터중 송태섭을 좋아하는데.. 송태섭이 주인공이라 더 좋았음.. 이제 모레면 50인데.. 감동이구나,10
더 퍼스트 슬램덩크,별점도 높고 후기좋아서 엄청 기대하며 봤어요. 처음 슬램덩크 보는 사람들은 재밌게 봤을꺼같은데.. 저는 좀 실망했어요. 특히나 성우 바뀐부분에서 이건 아니다 싶었어요. 내가 아는 강백호는 이목소리가 아닌데.. 이런느낌이랄까요. 예전 슬램덩크로 다니 돌려내~~ ㅠㅠ ,6
더 퍼스트 슬램덩크,"망설이다 끄적여보는 슬램덩크 극장판 후기.중후반부터는 거의 눈에 땀에 고인 채로 관람. 다음 장면이, 다음 대사가 뭔지 아는데 나 두근두근 왜 이러니? 이노우에의 어마어마한 작화 능력을 따라오지 못했던 TV판은 거들떠 보지도 않아서 주제곡은 &amp;#39;뜨거운 코트를 가르며~&amp;#39; 까지 밖에 몰랐지만, 이제부터 나의 OST는 도내 남바완가도가 코트를 가를 때 터져나오던 Love Rocket으로 확정. 모션캡쳐와 3D로 구현된 경기 장면이 이렇게 작화에 충실하면서 이렇게 역동적일 수 있다니! 내 소중하고 뜨거웠던 추억이 30년만에 되살아나 생생하게 눈 앞에서 살아 움직이는 느낌. 전혀 변하지 않은, 오히려 더 좋은 모습으로. 만화의 원작자가 애니메이션의 감독이어야만 하는 절대적인 이유. 원작을 보지 않았다면 배경 스토리를 유튜브 등으로 보고 가길 추천. 후기를 망설인 이유는 다른 분들의 감동에 방해가 될까봐서였지만 이 영화가 더 잘 됐으면 하는 맘이 더 커서 그만",10
더 퍼스트 슬램덩크,이정도로 3d를 자연스럽게 높은 퀄리티로 만들었으며 모르는 사람이 봐도 이해가 되는 스토리에 이영화는 봐야한다,10
더 퍼스트 슬램덩크,굳,10
더 퍼스트 슬램덩크,아 진짜 꼭 영화관에서 봐야함 안봤으면 평생 후회할뻔 너무 재밌음 하...너무 재밌어서 눈물남,10
더 퍼스트 슬램덩크,청춘으로 회귀하는 그 시절 그 감성!!,10
더 퍼스트 슬램덩크,확실히  바빌론보다 낫다!  애니메이션이 이런 감성자극에 ㅠㅜ  몰입감은 처음인듯! 진작 볼걸 ㅠㅜ,10
더 퍼스트 슬램덩크,그냥 다시 볼 수 있다는 점에서 감동..,10
더 퍼스트 슬램덩크,보는사람마저 숨죽이게 되는 정적... 연출 미쳤음.,9
더 퍼스트 슬램덩크,"영화가 시작돼면서 경기가 시작돼고, 2시간의 길고 긴 경기후 경기가 끝나면서 영화가 끝난다.",1
더 퍼스트 슬램덩크,정말 오랜만에 가슴 울리는 영화였습니다. 오래된 만화책도 다시 꺼내게 만드네요.,10
더 퍼스트 슬램덩크,감사합니다 다케히코 센세..,10
더 퍼스트 슬램덩크,왼손은 거들뿐 빼고 모든게 최고,10
더 퍼스트 슬램덩크,최고의 스포츠애니메이션 극장영화,10
더 퍼스트 슬램덩크,진짜 리뷰 왜케 좋아서 나 낚으신거임?중2병 들어간 애니임.추억으로 보긴했고 감동조장 장면 인정하나. 극장서 보란건 2시간 고통버티기임 ,6
더 퍼스트 슬램덩크,재밌게 잘 봣어요 ㅎㅎ,9
더 퍼스트 슬램덩크,슬램덩크는 남자의 영화였다...,9
더 퍼스트 슬램덩크,오늘 6회차 갑니다 장기상영해주세요 제발,10
더 퍼스트 슬램덩크,진짜 손에 땀을 쥐게 하는 경기였어요,10
더 퍼스트 슬램덩크,같은 시대에 살아서 행복하다,10
더 퍼스트 슬램덩크,태어나지 않은년도로 가고싶습니다.,10
더 퍼스트 슬램덩크,자막 봤으니 더빙 봐야지~,10
더 퍼스트 슬램덩크,안보면 후회합니다...역대급영화...ㄷㄷ,10
더 퍼스트 슬램덩크,second 주세요,10
더 퍼스트 슬램덩크,송태섭 회상하는 장면은 매우 루즈하다,6
더 퍼스트 슬램덩크,지렸다 더빙판으로도 보고싶어요,10
더 퍼스트 슬램덩크,1990년도의 추억이 생각남.난 2003년생임. ,10
더 퍼스트 슬램덩크,중딩시절의 내겐 오빠였던 그들. 세월이 지나 그들의 엄마뻘이 되어서 뜨겁고 빛나는 시절의 선물을 받은 기분이였다. 붉은 손목밴드를 건네 받은 그의 엄마처럼. 초반 데생으로 한명씩 그려지기 시작할때 마음이 웅장해지면서 오열할뻔ㅜㅜ,10
더 퍼스트 슬램덩크,전 캐릭터이름만 알고갔는데도 감동이.. 남편은 옆에서 내내울고ㅠ,10
더 퍼스트 슬램덩크,"슬램덩크를 사랑한 이들에게 주는 최고의 선물,뻔한 결과에도 이렇게 감동을 주는게 또 있을까?마지막 몇분은 숨도 제대로 못쉬고 몰입했던 인생 최고의 만화이자 영화입니다",10
더 퍼스트 슬램덩크,만화책에서 느낄 수 있던 감동과 영화에서 느낄 수 있는 생동감이 합해진 영화 아닐까 특히 만화책에서 다루지 않았던 과거 얘기를 다루면서 캐릭터에 대한 입체감이 더해짐!,9
더 퍼스트 슬램덩크,서태웅 너무 잘생겼어요!!!!,10
더 퍼스트 슬램덩크,진짜 우리 어린 시절을 생각하게 하는...울컥함~ 이노우에 작가님 좀 더 해주세요~ ㅎㅎ,10
더 퍼스트 슬램덩크,아쉬운부분도있었지만 산왕전을 애니로본다는것만으로도10점,10
더 퍼스트 슬램덩크,재밌습니다 하나도 모르고 가도 재밌었어요,10
더 퍼스트 슬램덩크,3회차 관람했다... 지금까지 수많은 애니 명작들이 있었는데 그중에서 시간이 흘러서도 이토록 많은 사랑을 받는 작품이 슬램덩크인 덴 분명 이유가 있다. 사랑 받을 수밖에 없는 이유들이 영화 속에 다 들어 있음 오프닝 스케치와 대사 없이 이어지는 마지막 1분 동안의 승부 연출은 영화적 백미의 극한을 선사하니 다들 극장에서 꼭 관람했으면 좋겠다~,10
더 퍼스트 슬램덩크,보는 것만으로도 감동!,10
더 퍼스트 슬램덩크,나 진짜 평점 눈팅만 하는데 이거는 참지 못한다 누가 점수를 낮게 주었길래 이게 만점을 못받는거야~!,10
더 퍼스트 슬램덩크,"최근 본 영화중 1등입니다. 스토리,연출,구성 모두 완벽하다.청춘들이여 열정하라~",10
더 퍼스트 슬램덩크,너무 재미있어요~~~,10
더 퍼스트 슬램덩크,오랜 추억의 달달함...,8
더 퍼스트 슬램덩크,영화 평점 처음남겨보는데... 진짜 인생 영화입니다.,10
더 퍼스트 슬램덩크,송태섭.. 많이 힘들었구나..,10
